chain_key,store_key,city,province,category,recipe,product_key,size,crust,price,date_key,month,year
DP,DP_10003,Whistler,BC,Pizza,Hawaiian,DP_12HTTHAWIN,"12""",HANDTOSSTHIN,20.49,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Hawaiian,DP_12SFFHAWIN,"12""",STUFFED,20.49,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Hawaiian,DP_P12PANHX,"12""",NPAN,20.49,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Hawaiian,DP_14THAWIN,"14""",THIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Hawaiian,DP_14SCHAWIN,"14""",HANDTOSS,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Hawaiian,DP_14HTTHAWIN,"14""",HANDTOSSTHIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Hawaiian,DP_16SCHAWIN,"16""",HANDTOSS,27.94,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Hawaiian,DP_16HTTHAWIN,"16""",HANDTOSSTHIN,27.94,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,MeatZZa,DP_10TMEATZA,"10""",THIN,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,MeatZZa,DP_10SCMEATZA,"10""",HANDTOSS,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,MeatZZa,DP_P10IGFMX,"10""",GLUTENF,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,MeatZZa,DP_12TMEATZA,"12""",THIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,MeatZZa,DP_12SCMEATZA,"12""",HANDTOSS,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,MeatZZa,DP_12HTTMEATZ,"12""",HANDTOSSTHIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,MeatZZa,DP_12SFFMEATZ,"12""",STUFFED,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,MeatZZa,DP_14TMEATZA,"14""",THIN,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,MeatZZa,DP_14SCMEATZA,"14""",HANDTOSS,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,MeatZZa,DP_14HTTMEATZ,"14""",HANDTOSSTHIN,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,MeatZZa,DP_16SCMEATZA,"16""",HANDTOSS,33.24,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,MeatZZa,DP_16HTTMEATZ,"16""",HANDTOSSTHIN,33.24,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Philly Steak,DP_10TPHILCS,"10""",THIN,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Philly Steak,DP_10SCPHILCS,"10""",HANDTOSS,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Philly Steak,DP_P10IGFPH,"10""",GLUTENF,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Philly Steak,DP_12TPHILCS,"12""",THIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Philly Steak,DP_12HTPHILCS,"12""",HANDTOSS,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Philly Steak,DP_12HTTPHILC,"12""",HANDTOSSTHIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Philly Steak,DP_12SFFPHILC,"12""",STUFFED,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Philly Steak,DP_P12IPAPH,"12""",NPAN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Philly Steak,DP_14TPHILCS,"14""",THIN,27.99,2025-11-15,November,2025
